ip=  0 ,FFP(MV)= 79.70 ,Rc(GV)=  6.12 depth(g/cm2)=  1.9781E+02 g=    0.15
 Total flux (/cm2/s)=   0.99936984687715869     
    E(MeV/n)        u        v        w
  3.5281E+02 -0.21702 -0.94400  0.24852
  1.2851E+00  0.24029 -0.61095  0.75432
  8.8472E+01 -0.74652  0.65920 -0.09035
  4.6895E+02 -0.02503  0.43098  0.90202
  5.0561E+00 -0.33111 -0.70198 -0.63055
  1.5959E+02  0.71380  0.50881  0.48125
  1.2715E+01 -0.35201  0.14871  0.92411
  8.5212E+01  0.52558 -0.73669  0.42551
  2.4012E+01  0.16888  0.51116  0.84273
  1.2045E+02  0.02243 -0.49049  0.87116
  3.0938E+01  0.73377  0.16684  0.65859
  4.2523E+00 -0.57284  0.80056 -0.17592
  2.0120E+02  0.19661  0.72688  0.65802
  6.8680E+00  0.64334  0.63017  0.43475
  2.5326E+00 -0.62055  0.60598 -0.49770
  1.1720E+02  0.61908 -0.50219  0.60377
  5.4800E+01 -0.16252  0.31050  0.93658
  3.2221E+02  0.06495  0.81722  0.57266
  1.2687E+00 -0.21448  0.77898  0.58923
  5.8648E+00 -0.96026 -0.21714  0.17533
  2.3993E+02  0.19847  0.18882  0.96175
  3.1069E+02 -0.55752  0.62091  0.55103
  1.6709E+02 -0.31545 -0.28393  0.90547
  1.3340E+02  0.27488  0.65863  0.70046
  1.4778E+01  0.02145  0.89784 -0.43981
  3.8211E+02  0.07572  0.90646  0.41544
  2.8261E+02 -0.15181  0.67885  0.71841
  2.3503E+00  0.52198  0.79985 -0.29627
  3.9256E+01 -0.08303 -0.30970  0.94720
  2.4932E+02 -0.07549  0.14400  0.98669
  7.5313E+00 -0.88402  0.29595  0.36182
  5.9579E+01 -0.04956 -0.07552 -0.99591
  1.7970E+00 -0.77262  0.45040 -0.44744
  4.6400E+00 -0.65086  0.49361 -0.57683
  5.4923E+01  0.70657  0.45823 -0.53924
  7.2403E+01 -0.46875 -0.22403  0.85445
  7.9333E+02 -0.37420  0.56875  0.73246
  1.1175E+00 -0.12528  0.81222  0.56974
  3.6451E+01  0.66191 -0.70999  0.24038
  9.6361E+01 -0.44691  0.62589  0.63917
  1.1871E+01  0.96142  0.12380 -0.24567
  1.4608E+02  0.43336  0.28154  0.85612
  5.5800E+00  0.10209  0.88386 -0.45648
  3.3715E+00  0.88626 -0.01064  0.46307
  6.6945E+00  0.02371  0.79049  0.61202
  7.6525E+01  0.93494  0.34744  0.07195
  5.0791E+01  0.38780  0.10750  0.91546
  9.2258E+01  0.31199  0.58729  0.74683
  3.4693E+02  0.49747  0.62735  0.59912
  1.8585E+00 -0.82676  0.41014  0.38503
  2.8056E+00 -0.38396 -0.91889 -0.09070
  6.7418E+01  0.96002  0.24418  0.13686
  7.6597E+01  0.25478  0.81768 -0.51621
  2.4837E+02 -0.20463 -0.39104  0.89734
  1.0933E+02 -0.66429 -0.71769  0.20888
  1.4961E+00 -0.61165 -0.76989 -0.18209
  1.6166E+02  0.76652  0.63513 -0.09516
  1.4331E+00  0.89599 -0.15498 -0.41615
  2.8158E+00  0.71239  0.00785 -0.70174
  8.4969E+00  0.96505  0.19363  0.17657
  1.8849E+01  0.44508 -0.58170  0.68083
  1.9611E+02  0.22927  0.00779  0.97333
  2.5812E+00 -0.77583  0.30407  0.55284
  8.9139E+02  0.13514  0.64506  0.75209
  1.7177E+00 -0.89315  0.40600 -0.19350
  1.4745E+00 -0.94877 -0.07868  0.30602
  8.9584E+01 -0.60153 -0.24755  0.75953
  2.2700E+01 -0.02812  0.12046  0.99232
  3.6239E+01 -0.71567 -0.65501 -0.24246
  1.3602E+02 -0.99817 -0.04867  0.03597
  2.6099E+00  0.85122  0.50329 -0.14874
  2.9280E+02  0.13738 -0.62164  0.77116
  1.8724E+00  0.89873 -0.43838  0.01036
  1.5982E+00 -0.68512  0.72814 -0.02053
  3.1403E+00 -0.51668 -0.00577  0.85616
  2.8737E+02 -0.90384  0.11405  0.41240
  5.0813E+01 -0.67360 -0.39579  0.62419
  6.4595E+01 -0.21243  0.91084  0.35390
  1.2550E+00  0.24235  0.55465  0.79601
  4.9909E+00 -0.18150  0.88706  0.42448
  1.1850E+00 -0.45527  0.87452 -0.16718
  2.1829E+02 -0.59486  0.80156 -0.06041
  2.4335E+00 -0.24861  0.88260 -0.39901
  3.4049E+01  0.13310  0.13823  0.98142
  6.3020E+01  0.19682  0.65123  0.73291
  1.4927E+02 -0.88000 -0.37594  0.29029
  1.3691E+02 -0.12111  0.41721  0.90070
  4.3263E+01 -0.17548 -0.25653  0.95047
  1.1259E+00 -0.37339  0.28125  0.88401
  2.2095E+01  0.95134 -0.03259 -0.30641
  4.3715E+01  0.71446  0.69892 -0.03239
  5.2647E+00  0.91677  0.24131  0.31829
  6.7650E+01 -0.05214  0.20083  0.97824
  3.9487E+01 -0.57960 -0.81310  0.05408
  4.6577E+00  0.27392  0.03295 -0.96119
  4.9310E+00 -0.05408  0.14794  0.98752
  1.4326E+01 -0.65100 -0.08301  0.75453
  9.9023E+01 -0.02507 -0.27928  0.95988
  2.8157E+02  0.47744 -0.62998  0.61252
  8.7540E+00 -0.13201 -0.21889  0.96678
  1.8591E+02 -0.50276 -0.53987  0.67511
  9.4075E+01  0.44657 -0.74589  0.49418
  1.2077E+00 -0.43930 -0.32496  0.83750
  2.2794E+02  0.95861  0.15273  0.24030
  4.4315E+01 -0.82493  0.13913  0.54785
  1.9481E+00  0.82784 -0.55277  0.09556
  3.2669E+00 -0.17264 -0.98468  0.02466
  6.6082E+00 -0.96999  0.23946 -0.04215
  9.5849E+01 -0.19743  0.90158  0.38494
  3.5582E+01  0.31453  0.70422  0.63651
  2.3408E+00  0.01525  0.16105 -0.98683
  4.0429E+02  0.35461  0.39193  0.84891
  3.0710E+02 -0.16638  0.66395  0.72903
  3.4709E+01  0.27633 -0.24452  0.92944
  2.1602E+00 -0.50476 -0.24883  0.82662
  4.7158E+02 -0.09156  0.49830  0.86216
  8.5858E+00 -0.83259 -0.38157 -0.40149
  5.0617E+01  0.02459 -0.30068  0.95341
  2.9080E+02  0.07108 -0.76075  0.64515
  3.2969E+01  0.29060  0.23985  0.92630
  8.9615E+02 -0.76787 -0.49856  0.40227
  1.7889E+02  0.01778  0.71963  0.69413
  1.8159E+01 -0.43870  0.34275  0.83070
  1.0151E+00  0.59560 -0.22953 -0.76979
  1.7107E+02 -0.67144  0.68553  0.28145
  6.3393E+01 -0.19869  0.23361  0.95181
  1.2616E+00  0.63373  0.53237 -0.56121
  1.8293E+02 -0.62324  0.72707  0.28800
  1.0021E+01  0.66376 -0.23584  0.70979
  3.1891E+00  0.67815 -0.71903 -0.15203
  1.2716E+02 -0.39941  0.66178  0.63444
  1.0691E+02 -0.63849  0.04696  0.76820
  2.6741E+02  0.73165  0.01345  0.68155
  3.2320E+00 -0.58802  0.36348  0.72257
  1.3177E+00  0.32408 -0.08369 -0.94232
  7.2266E+01  0.51587  0.73027  0.44786
  8.1145E+01  0.95185 -0.13663  0.27445
  3.2480E+02  0.21013 -0.74506  0.63303
  1.7157E+02 -0.61261 -0.77453  0.15753
  9.0860E+00  0.47502  0.37538 -0.79589
  4.4634E+02  0.93223  0.01295  0.36162
  2.2806E+00  0.60734  0.41899  0.67498
  3.3359E+00  0.06076  0.75235 -0.65596
  4.3911E+00 -0.96382 -0.25146 -0.08843
  2.0299E+01 -0.38885 -0.52524  0.75691
  2.0445E+00 -0.69802  0.25752 -0.66817
  2.0536E+02  0.41477  0.35946  0.83591
  1.0371E+00  0.71551  0.05986 -0.69604
  1.4142E+02 -0.45777  0.58823  0.66665
  1.7100E+02  0.32907  0.90332  0.27518
  9.1595E+00  0.83947  0.52251  0.14925
  2.7006E+00  0.65228  0.08112 -0.75362
  1.4038E+00 -0.16897  0.89341 -0.41625
  5.0594E+01 -0.51184  0.53823  0.66957
  1.0200E+02  0.07787  0.90585  0.41639
  7.3893E+01 -0.83901 -0.18921  0.51016
  9.3956E+01 -0.38564 -0.15249 -0.90996
  2.2764E+02 -0.97905  0.08505  0.18502
  3.3075E+00  0.20120  0.94603 -0.25405
  2.6706E+01  0.22608  0.83284 -0.50523
  1.2146E+00 -0.70067 -0.61977 -0.35348
  2.0835E+00  0.15394  0.97317  0.17098
  4.6845E+00  0.23913 -0.93022 -0.27838
  1.9943E+02  0.43137 -0.78024  0.45293
  1.1914E+00  0.64710 -0.01873 -0.76218
  1.6873E+01  0.00644  0.67235 -0.74020
  3.8447E+01 -0.55762 -0.28738  0.77876
  1.2811E+02  0.64523  0.24844  0.72246
  1.2626E+01 -0.16426 -0.43186  0.88686
  1.6141E+00  0.48729  0.78509 -0.38234
  5.9967E+00 -0.57905  0.81444  0.03718
  1.7320E+00  0.05218 -0.06295  0.99665
  3.9718E+00 -0.61541 -0.76791 -0.17772
  2.1370E+01  0.94845  0.25351  0.19019
  1.9509E+02  0.16260  0.60237 -0.78148
  2.5445E+00 -0.13716  0.97855 -0.15373
  5.4243E+02 -0.54425  0.03912  0.83801
  1.3763E+02  0.68292 -0.56564  0.46225
  2.7517E+00  0.17288 -0.76340 -0.62236
  1.1467E+00  0.64590  0.37768 -0.66345
  3.3135E+00 -0.30053  0.56524 -0.76824
  6.6293E+01 -0.85645  0.51597  0.01624
  3.9454E+01  0.81276  0.30020  0.49931
  2.4159E+00 -0.87116 -0.19102  0.45232
  4.3431E+01  0.30230 -0.94562  0.12011
  7.2549E+00 -0.56933  0.53036  0.62815
  2.1461E+02  0.80679 -0.59080 -0.00690
  7.4995E+01  0.34196  0.16963  0.92428
  9.4004E+01 -0.39771 -0.66809 -0.62887
  1.0912E+01  0.68804 -0.34000 -0.64109
  2.8017E+00 -0.53838 -0.15217  0.82885
  1.9995E+02 -0.08444  0.16537  0.98261
  1.8019E+02  0.71144 -0.08767  0.69725
  3.5657E+00  0.14877  0.21348  0.96555
  1.5997E+00  0.11882 -0.15616  0.98056
  1.6248E+01  0.67257 -0.48722 -0.55702
  1.5504E+01  0.62732  0.01957 -0.77851
  2.0271E+00  0.96286  0.04680 -0.26590
  6.6070E+01  0.83350  0.54673 -0.07972
  6.0730E+02  0.47344  0.13915  0.86977
  4.3450E+01  0.42960  0.11038  0.89625
  6.2279E+00 -0.86135 -0.22529  0.45532
  7.8028E+00 -0.66900 -0.72797  0.14999
  1.0736E+00 -0.43875  0.33113  0.83538
  2.1492E+00 -0.72564  0.10482  0.68004
  1.1105E+00  0.94244  0.22230 -0.24978
  5.2180E+02 -0.06614 -0.85492  0.51453
  1.5802E+02 -0.79827 -0.02144  0.60191
  2.2109E+01 -0.77474  0.00352 -0.63227
  1.4220E+01 -0.55184  0.29841  0.77874
  2.9652E+00  0.54243  0.56644 -0.62041
  2.0105E+01  0.42408  0.21942  0.87864
  1.4276E+00 -0.00213 -0.21713 -0.97614
  6.8493E+01  0.45820  0.51037  0.72772
  9.7309E+01  0.08148 -0.35674  0.93064
  4.0809E+01 -0.63700 -0.76964  0.04334
  2.1489E+00 -0.94157 -0.00759  0.33673
  2.5693E+00 -0.35957 -0.09294 -0.92848
  1.9939E+01  0.22280  0.66935  0.70876
  2.3582E+01  0.42163 -0.89659  0.13550
  1.0381E+02 -0.78251  0.31305  0.53822
  1.2332E+01  0.68893  0.52444  0.50033
  1.4209E+02 -0.78797  0.59315  0.16517
  4.1763E+01  0.70770 -0.30898  0.63537
  8.9770E+01  0.09678 -0.55814  0.82408
  2.8660E+02 -0.06199  0.54560  0.83575
  2.4854E+00 -0.35087  0.59881  0.71995
  1.7918E+00 -0.97723 -0.07149  0.19977
  1.2406E+00  0.93930  0.33227  0.08548
  5.1601E+01  0.23815  0.91234  0.33305
  2.2603E+01 -0.97964 -0.16129  0.11952
