ip=  0 ,FFP(MV)= 79.70 ,Rc(GV)=  6.12 depth(g/cm2)=  1.9781E+02 g=    0.15
 Total flux (/cm2/s)=   0.99936984687715869     
    E(MeV/n)        u        v        w
  2.8751E+01  0.04207 -0.79365  0.60691
  1.4496E+01  0.24728 -0.76291  0.59734
  1.1006E+01  0.39751  0.86316 -0.31136
  7.4224E+01  0.07323  0.14063  0.98735
  7.1801E+01 -0.30353  0.12958  0.94397
  1.5287E+01 -0.81404 -0.16450  0.55702
  1.0339E+00 -0.35306  0.68819 -0.63384
  5.7141E+02  0.16546 -0.89792  0.40787
  5.9820E+02 -0.19743 -0.54057  0.81780
  1.1986E+00  0.73781  0.18547  0.64903
  1.9235E+01  0.96889  0.15170 -0.19556
  4.9382E+01  0.62288  0.28543  0.72839
  2.3821E+00  0.31659  0.22587 -0.92128
  1.2645E+02  0.15988  0.07152  0.98454
  2.3791E+02  0.37726 -0.44892  0.81003
  1.0427E+00  0.19943 -0.30067 -0.93264
  4.1798E+02 -0.35313 -0.30292  0.88518
  6.3752E+01  0.46969 -0.73059 -0.49561
  1.3898E+00 -0.38722 -0.32437  0.86304
  1.5853E+00 -0.43218  0.84944 -0.30276
  3.4181E+00  0.18582 -0.21779 -0.95814
  2.2482E+00  0.61750 -0.51471  0.59479
  9.8842E+02  0.31013 -0.38387  0.86975
  5.1160E+01 -0.93546  0.19251  0.29640
  5.9535E+02 -0.03984  0.20896  0.97711
  1.3652E+00 -0.54738 -0.78080  0.30122
  7.4402E+00 -0.21360  0.35339 -0.91076
  5.9079E+00  0.64622  0.11563 -0.75434
  4.4892E+01  0.39588  0.30220  0.86716
  5.8894E+01  0.07596  0.43410  0.89766
  1.1424E+00  0.74563  0.46472  0.47757
  4.6602E+02  0.49279 -0.48361  0.72338
  1.3189E+00 -0.57316 -0.69226 -0.43849
  2.3447E+02 -0.59555  0.39052  0.70201
  1.7941E+00  0.09798 -0.59104 -0.80067
  1.6281E+02 -0.70913  0.59645 -0.37602
  5.8502E+00  0.79830  0.46445 -0.38342
  1.0145E+00 -0.80742 -0.57520 -0.13122
  5.7205E+00 -0.06949 -0.94129 -0.33038
  2.2515E+02 -0.26994  0.80351  0.53056
  2.3138E+00 -0.89310 -0.43204  0.12532
  2.8107E+01  0.35647  0.84705  0.39424
  5.0368E+00 -0.11799  0.94523 -0.30433
  9.4194E+00  0.74295  0.21824 -0.63277
  2.4160E+02 -0.28079 -0.87221  0.40050
  3.2865E+00  0.00027 -0.94767  0.31926
  1.6988E+01  0.55359 -0.57771  0.59982
  1.5566E+02  0.86453 -0.43793  0.24661
  1.8633E+00  0.93625  0.22607  0.26893
  4.3885E+00  0.36906  0.01163 -0.92933
  2.4224E+01  0.35235  0.64229 -0.68067
  1.6725E+00  0.29908 -0.84695 -0.43957
  1.8840E+00 -0.28033 -0.15634  0.94709
  4.8910E+00  0.16215  0.74588  0.64604
  2.2181E+00  0.59605  0.07761 -0.79919
  1.4223E+01  0.78990  0.10943  0.60339
  2.5579E+00 -0.54569  0.61286  0.57151
  1.0019E+01 -0.07173  0.63410 -0.76992
  1.2938E+01  0.63898  0.36727  0.67589
  1.3294E+01 -0.06795 -0.89335 -0.44419
  1.9194E+00 -0.36440  0.29683  0.88267
  1.5909E+00 -0.55020 -0.04224 -0.83396
  1.6913E+01  0.32131 -0.92376  0.20839
  7.1670E+01 -0.15799  0.49576  0.85397
  2.5059E+00 -0.55336  0.39473 -0.73347
  6.5097E+00  0.39494 -0.50400  0.76812
  5.8948E+01 -0.28478 -0.95242  0.10858
  3.1764E+02 -0.68742 -0.02994  0.72564
  1.2371E+01 -0.05407 -0.80193 -0.59497
  1.2887E+01  0.66873  0.50468  0.54598
  4.3475E+01 -0.80288 -0.34846  0.48370
  1.3608E+00  0.47280  0.59484 -0.65010
  8.1471E+01 -0.36535  0.81447  0.45073
  1.1934E+01 -0.29218 -0.35996  0.88603
  2.5024E+00 -0.86991  0.17119 -0.46254
  1.0889E+01  0.93294 -0.00882 -0.35993
  1.3217E+00  0.87311 -0.30230 -0.38249
  1.3223E+02  0.49919  0.48382  0.71883
  8.6201E+01  0.97811  0.07741  0.19317
  6.3187E+02  0.23817  0.39471  0.88740
  4.8719E+02  0.08727 -0.61106  0.78676
  2.0796E+00  0.49057 -0.44388  0.74988
  1.7091E+02 -0.21343  0.70345  0.67794
  6.2611E+00  0.54215  0.76031  0.35778
  5.1332E+00 -0.66828  0.17951  0.72193
  3.9725E+02 -0.65206  0.57136  0.49836
  1.6479E+01  0.48237 -0.37368 -0.79227
  1.6077E+01 -0.78891 -0.57981 -0.20359
  9.1676E+02 -0.54003  0.82748  0.15377
  2.6945E+01 -0.04634 -0.83307  0.55122
  6.4590E+00 -0.66019  0.10054  0.74434
  2.8209E+01 -0.33179 -0.60411  0.72454
  1.0294E+01  0.25404  0.75952  0.59883
  2.5773E+00  0.14315 -0.98968  0.00649
  4.7986E+01 -0.51013  0.85501 -0.09341
  3.5620E+01 -0.95073 -0.15965  0.26574
  5.7066E+01 -0.92386  0.22354  0.31067
  2.5155E+00  0.65876 -0.15855 -0.73546
  5.7283E+00  0.82471  0.09863  0.55689
  2.0595E+00 -0.60732 -0.79425  0.01782
  1.5005E+02 -0.67226 -0.54866  0.49703
  9.2786E+00 -0.99415 -0.09205  0.05642
  9.1286E+01 -0.70777  0.44933 -0.54512
  4.4497E+00 -0.40775  0.71939 -0.56233
  8.1988E+02 -0.52950  0.64069  0.55602
  4.3208E+00 -0.47498 -0.72640 -0.49673
  1.6274E+02 -0.19706  0.43413  0.87903
  1.4441E+02  0.29659 -0.38248  0.87507
  1.4448E+02  0.34530  0.81827  0.45956
  6.1790E+02 -0.34220 -0.39323  0.85339
  1.4018E+01  0.31295 -0.47970  0.81972
  2.8057E+00 -0.52211  0.52221  0.67431
  4.4559E+01  0.35230 -0.77105  0.53044
  9.9450E+01  0.25502 -0.96097  0.10723
  9.4853E+00 -0.51960  0.41469  0.74703
  2.1288E+02  0.11347 -0.71994  0.68469
  9.4920E+00 -0.29393 -0.88886  0.35148
  7.1912E+00  0.90893 -0.37330  0.18570
  1.6800E+02 -0.97595  0.19074 -0.10553
  1.2387E+02  0.58461  0.53129  0.61316
  1.2710E+02  0.53293  0.48390  0.69414
  1.6506E+00 -0.36795 -0.79139  0.48818
  4.4308E+02  0.06321 -0.33938  0.93852
  2.6947E+00 -0.28155 -0.95797 -0.05492
  7.9122E+01 -0.74129 -0.52621  0.41664
  1.3345E+00 -0.85328 -0.48437 -0.19313
  4.1234E+00  0.26272  0.96480  0.01144
  1.1498E+01  0.65270 -0.24651  0.71639
  2.8689E+00 -0.79211 -0.18295  0.58232
  1.6482E+02  0.24564  0.68259  0.68829
  8.5056E+00 -0.84565  0.03768  0.53241
  4.5955E+01  0.92489  0.06680  0.37433
  1.2694E+00  0.78082 -0.25349  0.57101
  1.7521E+02 -0.07536  0.76298  0.64202
  1.0291E+01 -0.24774 -0.92413  0.29088
  1.2677E+02  0.55972  0.77213  0.30088
  2.4590E+01 -0.65925  0.25559 -0.70715
  2.6274E+01  0.34029  0.65819  0.67156
  8.9393E+02  0.03203 -0.57927  0.81451
  1.8683E+00 -0.30389  0.88660  0.34871
  6.5995E+00 -0.11976 -0.84243  0.52533
  2.3449E+02 -0.89726 -0.37248  0.23702
  3.8856E+00  0.81258 -0.28018 -0.51109
  1.9228E+02  0.86358  0.31463  0.39401
  2.9261E+01 -0.95814 -0.28525 -0.02437
  3.6025E+00 -0.30826 -0.42631  0.85043
  7.5698E+02  0.31089 -0.82735  0.46779
  2.3359E+02  0.49588 -0.45380  0.74039
  2.3538E+00 -0.93159  0.28432  0.22649
  8.2627E+01  0.17166  0.95087 -0.25764
  1.0348E+00 -0.84858 -0.17184 -0.50038
  7.3168E+02 -0.29318 -0.85662  0.42456
  4.4470E+01  0.93214 -0.31787 -0.17344
  6.7309E+00 -0.55690 -0.62391  0.54827
  7.1209E+01 -0.79899  0.52309  0.29665
  3.2952E+00  0.72455 -0.47356 -0.50077
  2.1881E+01  0.34109 -0.26437  0.90209
  3.0911E+00 -0.38076 -0.45769  0.80346
  1.5002E+00  0.85413  0.22406 -0.46931
  1.2472E+01 -0.57871 -0.81393  0.05122
  3.3407E+00  0.00273 -0.91847  0.39548
  1.1037E+01 -0.29254  0.93732 -0.18934
  1.2505E+01 -0.38472 -0.08368  0.91923
  2.6587E+00  0.26556  0.96393  0.01812
  1.1608E+00 -0.45013 -0.79790 -0.40092
  2.3627E+02 -0.78979  0.02882  0.61270
  4.1445E+01  0.59309 -0.72083  0.35866
  5.2352E+01  0.51735  0.85573  0.00855
  3.8795E+01  0.15362 -0.94927 -0.27437
  1.6278E+00  0.60351  0.03007 -0.79679
  1.7097E+02 -0.99099  0.13114  0.02712
  2.0190E+02 -0.04675  0.99517 -0.08634
  1.3655E+00  0.68821 -0.15752 -0.70821
  3.4699E+02  0.12065 -0.85956  0.49658
  2.8378E+02 -0.08931  0.04619  0.99493
  1.3737E+02  0.57373 -0.33673  0.74663
  1.4263E+00  0.36357  0.93105  0.03097
  7.5968E+00 -0.10593  0.19540 -0.97499
  3.8964E+02 -0.23024  0.63632  0.73627
  7.8155E+00  0.98067  0.13060 -0.14571
  2.5868E+00 -0.67153 -0.32622  0.66531
  4.2764E+00  0.48413  0.05459 -0.87329
  2.0196E+02 -0.50077  0.52566  0.68768
  1.1717E+00 -0.67096  0.64020  0.37412
  2.1621E+00  0.80851 -0.27695 -0.51924
  1.3675E+02  0.40773 -0.41589  0.81289
  1.7200E+00  0.86662 -0.26068  0.42546
  4.3485E+02 -0.65215 -0.66228  0.36889
  1.6760E+01 -0.70733  0.21927  0.67201
  4.4747E+02  0.81738 -0.57603  0.00878
  1.2234E+00  0.72550  0.56210 -0.39712
  4.8869E+01  0.18335 -0.01093  0.98299
  1.3992E+01 -0.48606  0.83795 -0.24815
  4.5100E+01  0.58596  0.31133  0.74815
  2.3577E+00  0.64904  0.76067  0.01180
  4.1615E+00  0.48100 -0.54671  0.68538
  3.1344E+02  0.67059 -0.53738  0.51140
  1.3674E+02  0.05951 -0.99673 -0.05463
  1.3624E+02  0.62024  0.76972  0.15109
  2.9453E+01 -0.22275 -0.83571  0.50196
  2.2978E+00  0.23501 -0.97176  0.02150
  1.3235E+02 -0.56613 -0.03678  0.82349
  6.4531E+02  0.63595  0.41000  0.65381
  2.6985E+00  0.77935  0.28426  0.55840
  2.3135E+00 -0.15885 -0.97755  0.13845
  3.1521E+01  0.74502  0.42879  0.51097
  1.0561E+02  0.47501 -0.04463  0.87885
  1.4101E+00  0.02061  0.36358  0.93133
  1.4408E+02  0.05241 -0.21150  0.97597
  5.3481E+00 -0.55452  0.33109 -0.76347
  1.6808E+01 -0.92031  0.37376  0.11551
  1.1471E+00  0.59468  0.65968  0.45954
  6.3363E+01 -0.95209 -0.25319 -0.17153
  5.3789E+01 -0.89219  0.41055  0.18825
  4.3145E+00  0.98747  0.06175 -0.14523
  4.8099E+01 -0.34507 -0.44911  0.82415
  4.7090E+00  0.95584 -0.28786 -0.05918
  4.4615E+00  0.61602  0.77905  0.11657
  1.7539E+00 -0.55790  0.01268 -0.82981
  2.1339E+00  0.39939  0.61835  0.67685
  2.1067E+01  0.17764 -0.75650  0.62941
  7.1478E+00 -0.29399 -0.26582 -0.91810
  2.0333E+01  0.08275  0.66973 -0.73798
  2.7676E+01 -0.44582  0.55493  0.70235
  6.7134E+00  0.16175 -0.49177  0.85557
  2.0190E+01  0.14309  0.43766  0.88768
  2.2071E+02 -0.44314  0.89612 -0.02432
  2.3624E+01  0.53409 -0.75058 -0.38908
  2.3333E+02  0.41014  0.62238  0.66665
  1.8139E+01 -0.28142 -0.59778 -0.75064
  1.8087E+01  0.76925 -0.07440  0.63460
  9.8566E+01  0.96298  0.05075 -0.26474
  4.5216E+00  0.17671 -0.05821  0.98254
  3.4463E+02  0.73728  0.02990  0.67493
  6.0758E+01  0.53059 -0.19429  0.82506
  1.8761E+00  0.48672 -0.37903  0.78704
  3.7787E+01  0.31683 -0.94730  0.04727
  2.0729E+00  0.82641  0.09548 -0.55492
  2.8766E+00 -0.18322  0.24253  0.95268
  2.5384E+00 -0.81146  0.46599  0.35270
  1.7001E+01 -0.61488  0.44419  0.65163
  6.4857E+01  0.26991  0.21659 -0.93821
  7.3741E+02  0.69720 -0.67890 -0.23024
  2.9273E+00 -0.25344  0.71690 -0.64948
  7.1023E+00 -0.59483  0.18998  0.78108
  7.6688E+01 -0.86393 -0.13890  0.48408
  1.3565E+00 -0.10360  0.43573 -0.89410
  1.2173E+02  0.99164 -0.12710  0.02243
  2.7335E+00  0.75347  0.08550  0.65190
  3.5024E+00  0.92284 -0.25399  0.28958
  2.3870E+02  0.26217 -0.54579  0.79585
  3.9487E+01  0.73762 -0.18261  0.65005
  6.6341E+01  0.65446 -0.57454 -0.49152
  3.0153E+00 -0.06128  0.98510  0.16068
  2.1417E+00 -0.73397 -0.05859  0.67666
  4.4293E+02 -0.21957  0.95456 -0.20149
  1.2470E+02  0.98802  0.06109  0.14174
  1.7192E+02 -0.36115 -0.27515  0.89099
  2.2854E+02 -0.91623 -0.35659  0.18266
  3.9938E+02  0.22652  0.51021  0.82968
  4.8714E+02 -0.08480  0.60220  0.79383
  3.5293E+00 -0.70238 -0.33956  0.62559
  1.3541E+00  0.69491 -0.68346 -0.22357
  2.9753E+02  0.76757  0.01006  0.64089
  5.6533E+02 -0.25771 -0.76569  0.58933
  2.1669E+00  0.39793  0.89392  0.20632
  7.1364E+02  0.15434 -0.05144  0.98668
  1.3360E+01  0.72984 -0.38327  0.56607
  2.1441E+00 -0.67091 -0.68076  0.29402
  1.5637E+00  0.36320  0.07465 -0.92871
  1.7400E+01 -0.03532  0.39760  0.91688
  2.1717E+00 -0.21262  0.56065  0.80029
  1.4497E+02  0.91265  0.11634 -0.39184
  2.9390E+00  0.87288  0.32236  0.36628
  5.0910E+01  0.48742 -0.24222  0.83890
  1.8830E+00 -0.44512  0.25048  0.85973
  3.8082E+01  0.61096 -0.71650  0.33667
  1.1287E+02  0.96611 -0.01124 -0.25787
  3.0907E+02 -0.34092 -0.08256  0.93646
  1.1933E+00 -0.56263 -0.23197  0.79350
  6.8557E+02 -0.80805  0.17500  0.56252
  1.0326E+02 -0.33724  0.89888  0.27979
  1.2109E+02 -0.34660 -0.20719 -0.91485
  5.7879E+01  0.07630  0.64855 -0.75734
  2.1756E+00 -0.29827  0.69159 -0.65783
  4.7638E+01  0.12450  0.98957  0.07240
  2.7611E+00 -0.11108 -0.19774 -0.97394
  3.7407E+00 -0.33354 -0.03352  0.94214
  2.9018E+00 -0.93293 -0.08060  0.35092
  9.8564E+01  0.60525  0.07609  0.79239
  1.2954E+02  0.90634  0.04305  0.42035
  3.8194E+01  0.55563 -0.52863  0.64173
  7.2519E+01 -0.28332 -0.95895  0.01216
  2.1150E+00  0.53041 -0.27884 -0.80057
  5.3032E+00 -0.31157 -0.75929  0.57132
  1.1862E+01 -0.78040  0.11216  0.61514
  9.8669E+01  0.36200  0.26125  0.89482
  1.0486E+01 -0.55512  0.83095  0.03680
  1.3269E+00 -0.30427  0.86659  0.39553
  2.2955E+00  0.92067  0.38116  0.08413
  6.6654E+01 -0.18556  0.98164  0.04419
  3.3813E+00  0.87121  0.30129 -0.38757
  4.6160E+00 -0.97681 -0.10322  0.18757
  5.9187E+00 -0.31569 -0.57419  0.75541
  1.2370E+02 -0.13729 -0.52019 -0.84294
  6.4903E+00 -0.68792 -0.71345  0.13322
  2.7232E+00  0.68909  0.57027 -0.44715
  8.3088E+01 -0.53998 -0.54477  0.64159
  2.0627E+02 -0.09568  0.23520  0.96723
  6.2101E+02 -0.34275 -0.62593  0.70053
  2.5355E+00 -0.87007 -0.40197  0.28531
  2.9266E+01  0.02123 -0.98968  0.14170
  3.4130E+02 -0.73616  0.37238  0.56515
  2.3126E+00  0.82380 -0.35952 -0.43830
  2.1613E+01  0.45314 -0.28852 -0.84346
  1.6044E+00 -0.81228 -0.57093  0.11931
  5.1624E+00 -0.89418  0.35333  0.27496
  1.5588E+02  0.00960 -0.32397  0.94602
  8.1886E+00 -0.27520  0.84910  0.45087
  3.6784E+02  0.68804  0.12059  0.71559
  3.4051E+00  0.73202 -0.16187  0.66178
  1.3994E+02  0.86393 -0.32142  0.38770
  6.7422E+01 -0.71108  0.65409  0.25792
  1.2843E+02  0.81657  0.39774 -0.41835
  2.2649E+00  0.80314  0.28694  0.52214
  1.2375E+01  0.48476 -0.86416  0.13507
  3.6508E+01  0.03571  0.89790  0.43874
  1.0972E+00 -0.22504  0.30076  0.92677
  2.1152E+00 -0.27649  0.60881 -0.74357
  6.3578E+01 -0.25662 -0.23309  0.93799
  1.5538E+02 -0.77931  0.62438 -0.05306
  6.1021E+00  0.63052 -0.52416  0.57245
  1.5115E+00  0.07922 -0.83271 -0.54802
  3.1041E+00 -0.12325  0.95428 -0.27232
  2.2587E+02  0.15259  0.95609 -0.25021
  6.5962E+01 -0.36888 -0.91138  0.18253
  9.9378E+01  0.61856  0.61010 -0.49514
  1.0907E+01  0.36726  0.86074  0.35249
  2.1195E+02  0.24869 -0.18090  0.95154
  1.0050E+01 -0.95294  0.27112 -0.13563
  2.3449E+00  0.42639  0.88800 -0.17217
  4.4839E+01 -0.19175  0.78132  0.59395
  1.9535E+01  0.70920  0.70138 -0.07142
  1.0097E+01  0.92469  0.07855  0.37253
  2.2971E+01 -0.76175 -0.03248 -0.64706
  3.3287E+00  0.67623  0.27749 -0.68243
  1.4383E+02 -0.08064  0.85204  0.51723
  1.1139E+01  0.18961 -0.94083  0.28086
  4.7493E+01  0.40193 -0.47823  0.78086
  1.7347E+00 -0.36849 -0.81644  0.44457
  1.1426E+00 -0.15143  0.46197 -0.87387
  3.2065E+00  0.69043  0.68119  0.24348
  4.3737E+02 -0.40664  0.22819  0.88463
  1.0069E+02  0.24605  0.74395  0.62129
  1.3064E+01 -0.05091 -0.92039 -0.38767
  1.3149E+02 -0.02272 -0.74178  0.67026
  3.7427E+02 -0.26210 -0.18091  0.94793
  9.2038E+02  0.25423 -0.61035  0.75023
  2.7795E+00  0.06283 -0.05149  0.99669
  9.9090E+01  0.66748 -0.71861  0.19513
  2.2134E+02  0.34183 -0.05757  0.93800
  8.2758E+01  0.26228  0.92584  0.27207
  1.8700E+01 -0.87029  0.11686  0.47847
  2.0126E+01  0.48601 -0.55579 -0.67446
  1.7825E+02  0.75091  0.63075  0.19567
  4.5189E+02 -0.06189  0.76600  0.63986
  9.5531E+02  0.12896  0.86311  0.48827
  4.7116E+00 -0.49926 -0.24992  0.82963
  2.0071E+00  0.94098 -0.08031 -0.32881
  1.2642E+00 -0.91399  0.32109  0.24803
  1.0400E+00 -0.37807 -0.34628  0.85858
  4.1315E+00 -0.00923 -0.96739  0.25313
  9.2869E+00 -0.17378 -0.98270  0.06410
  8.0784E+00  0.67580  0.66841 -0.31068
  1.8229E+02  0.30245 -0.75298  0.58441
  4.8934E+01  0.76525 -0.23616  0.59886
  6.6754E+01  0.21845  0.97033  0.10367
  2.9241E+02  0.72362  0.51311  0.46162
  6.6255E+00 -0.65508  0.41409  0.63198
  1.5566E+01  0.65354 -0.25090  0.71410
  2.6921E+00  0.47710 -0.87689  0.05862
  1.8825E+00  0.50061 -0.86409 -0.05223
  3.6647E+00  0.57593 -0.50006 -0.64672
  5.9626E+00  0.35636 -0.70669 -0.61122
  1.4231E+00 -0.03204  0.06574 -0.99732
  3.1114E+00  0.13593  0.98573 -0.09926
  7.6786E+00 -0.49783 -0.40412  0.76736
  4.3193E+00  0.49204 -0.07045 -0.86772
  2.0461E+00  0.22006  0.65201  0.72557
  4.2660E+02 -0.33467  0.15037  0.93026
  5.5185E+02  0.42660 -0.09887  0.89902
  2.6593E+02  0.64627 -0.64887  0.40163
  8.7572E+01 -0.30968  0.91981  0.24095
  8.3177E+00 -0.17273 -0.70206 -0.69086
  9.0527E+00 -0.88458  0.35793 -0.29900
  1.7028E+02  0.74301  0.63277 -0.21806
  1.6304E+00  0.31638  0.19142  0.92912
  6.5118E+01 -0.67959  0.52991 -0.50730
  3.1958E+01  0.13611 -0.45778 -0.87858
  1.2617E+02 -0.73343  0.30590  0.60704
  1.0518E+00  0.08055  0.98946 -0.12035
  2.9628E+00 -0.26325  0.00837 -0.96469
  1.1542E+00  0.35464  0.24725 -0.90172
  6.5792E+02 -0.31126  0.06369  0.94819
  2.9616E+02  0.84506 -0.20689  0.49302
  5.7295E+00  0.00786  0.73243  0.68080
  1.7467E+00  0.29119  0.95451  0.06413
  1.6272E+01 -0.54438  0.76183  0.35109
  8.2761E+01 -0.55825  0.07639  0.82615
  8.5170E+01  0.61209  0.70098  0.36602
  2.8136E+02  0.51740 -0.74778  0.41608
  2.0027E+00  0.80813 -0.48426  0.33529
  2.1736E+02  0.07771  0.58138  0.80991
  1.8084E+01 -0.22002 -0.01000  0.97545
  1.2660E+02  0.06582 -0.99320 -0.09603
  2.8421E+00 -0.59300  0.48045 -0.64616
  9.9279E+01  0.45895 -0.74542  0.48344
  9.1857E+01  0.83248  0.03119  0.55317
  3.9772E+00  0.61561 -0.29490 -0.73079
  1.2906E+00  0.71271 -0.25915  0.65183
  1.5080E+00  0.44564 -0.38760  0.80695
  1.6972E+00 -0.12567 -0.07545  0.98920
  4.8869E+00 -0.57579 -0.65591  0.48810
  1.8070E+00 -0.10226  0.61496  0.78190
  8.4142E+01  0.26443 -0.86665  0.42307
  1.3259E+02 -0.59896  0.67325  0.43357
  5.7035E+02  0.47595  0.22623  0.84988
  4.4552E+00 -0.99209 -0.05732  0.11165
  3.2757E+00 -0.94802  0.31622  0.03552
  1.3249E+02 -0.84635  0.29411  0.44406
  5.8477E+00  0.48567 -0.00161  0.87414
  4.4389E+00  0.81321  0.24157  0.52946
  6.8515E+01 -0.32720 -0.51520  0.79215
  1.2482E+02 -0.03865  0.84682  0.53048
  5.4680E+01  0.61285 -0.78664  0.07490
  2.5197E+02  0.77980  0.21925  0.58638
  1.8074E+00 -0.91294  0.39995  0.08113
  3.8215E+01  0.76128  0.28044  0.58464
  3.1238E+02  0.76721 -0.48581  0.41879
  1.1369E+00  0.41671  0.90641  0.06909
  2.3076E+00  0.33072 -0.17403 -0.92755
  8.6686E+01  0.37332  0.77994  0.50233
  1.7754E+00  0.69341 -0.63592 -0.33880
  1.0487E+00  0.16213 -0.87901 -0.44839
  1.1344E+01  0.18335  0.86996  0.45776
  2.3098E+00 -0.58421  0.16906 -0.79380
  1.3929E+02  0.87759 -0.11058  0.46649
  1.3009E+01  0.30672  0.87361 -0.37780
  2.9354E+02  0.78030  0.01293  0.62527
  1.7625E+00 -0.91588  0.14210  0.37545
  7.6618E+01  0.78955  0.50159  0.35357
  1.6177E+00  0.30223  0.94544  0.12166
  1.5014E+02 -0.18408  0.93604  0.29992
  3.8915E+02  0.42961  0.36002  0.82814
  5.3410E+00  0.95239 -0.15915 -0.26004
  3.5400E+00 -0.41627  0.90780  0.05117
  8.1177E+01  0.75908 -0.12573 -0.63874
  3.1778E+02 -0.94203  0.20684  0.26419
  3.7380E+01  0.90652 -0.32651 -0.26762
  4.5168E+00  0.57093 -0.03251  0.82036
  3.2879E+00 -0.68605  0.60693  0.40121
  9.0231E+01  0.34535  0.07901  0.93514
  8.9847E+01 -0.90783  0.18412  0.37675
  1.4032E+00  0.32277 -0.88092  0.34611
  1.0008E+01 -0.31373  0.52469 -0.79137
  1.6643E+00 -0.13495 -0.55807 -0.81875
  7.5681E+00  0.12130 -0.07256  0.98996
  1.7410E+02 -0.49387 -0.82381  0.27828
  1.6598E+00  0.42517  0.56348 -0.70833
  3.4621E+00 -0.16235  0.92832 -0.33445
  3.2693E+01 -0.90680  0.11540  0.40546
  2.1529E+01 -0.97320  0.07761 -0.21646
  1.5177E+02 -0.25149 -0.60653  0.75424
  1.7444E+01  0.55475  0.28267  0.78253
  2.8324E+00 -0.77819  0.17618  0.60282
  2.4981E+01 -0.45167 -0.65843  0.60205
  3.9570E+01 -0.51875 -0.66291 -0.53986
  2.4583E+02 -0.91674 -0.26121  0.30226
  4.3731E+00 -0.98298 -0.17366 -0.05990
  2.9835E+02 -0.32662  0.39119  0.86040
  8.8416E+00 -0.05174 -0.97896  0.19737
  2.0679E+00 -0.39432 -0.57016  0.72072
  4.9124E+01 -0.90338  0.42860 -0.01428
  5.1422E+00  0.60117 -0.75240  0.26924
  1.1078E+02 -0.89373 -0.23941  0.37938
  2.2067E+02  0.21313  0.77905  0.58963
  3.4314E+01  0.75765 -0.51010  0.40714
  2.0143E+00 -0.13623 -0.85282  0.50412
  7.6706E+00 -0.92308  0.28482  0.25846
  1.9833E+00  0.66957 -0.67227 -0.31578
  1.5920E+02  0.02088  0.23335  0.97217
  1.7165E+02 -0.99256 -0.10981 -0.05263
  1.4269E+00 -0.68262 -0.67273  0.28543
  9.1846E+02  0.05028  0.78633  0.61576
  1.2240E+00  0.83574 -0.47429  0.27674
  5.8052E+01 -0.12556  0.82978  0.54378
  1.0798E+00  0.86248  0.43434  0.25977
  5.3450E+01  0.24136  0.96986  0.03346
  2.1262E+01 -0.76121 -0.34802 -0.54721
  2.8202E+00  0.73586  0.60115  0.31167
  5.6401E+01  0.05254 -0.81629  0.57524
  3.9187E+01 -0.55445  0.65581  0.51234
  1.3971E+00  0.70311  0.67045 -0.23691
  7.2269E+00  0.76448  0.57258  0.29617
  6.5895E+01  0.11622 -0.79025  0.60167
  3.7933E+02 -0.01216  0.84738  0.53084
  4.0384E+02 -0.52995 -0.56582  0.63167
  4.9235E+01  0.15026  0.54017 -0.82803
  6.5311E+01  0.73323 -0.34018  0.58877
  7.6086E+01  0.81301  0.08938  0.57535
  2.3099E+00 -0.04075  0.51702 -0.85500
  6.9633E+00 -0.15882 -0.13566  0.97794
  4.0881E+01 -0.39594  0.50185  0.76901
  2.0167E+00 -0.70729 -0.61715 -0.34477
  1.6181E+02 -0.15453  0.57769  0.80149
  1.4853E+00 -0.76665 -0.27840  0.57857
  2.9268E+01 -0.91296  0.40364  0.05989
  1.3254E+02 -0.16562 -0.96687  0.19427
  9.4131E+01  0.30947 -0.78890 -0.53091
  4.5114E+01 -0.68064  0.64804  0.34171
  1.7261E+00  0.27180 -0.91738 -0.29075
  1.9399E+02 -0.30485  0.30513  0.90220
  9.0224E+01  0.80491 -0.44208  0.39583
  1.8132E+00 -0.10882  0.20179  0.97337
  9.0848E+02 -0.02443 -0.07947  0.99654
  2.6490E+02 -0.70541  0.47536  0.52576
  1.2142E+00 -0.85862 -0.27147 -0.43482
  9.9858E+01  0.81967  0.56440  0.09793
  3.9429E+01  0.49591  0.84983 -0.17850
  5.1784E+01  0.65853 -0.32566 -0.67844
  2.8101E+02  0.46136  0.71704  0.52249
  9.7718E+00  0.83855 -0.43180  0.33224
  5.7329E+02  0.12261 -0.74065  0.66060
  2.7363E+01  0.11402  0.97689  0.18079
  1.1479E+01 -0.06991  0.42094 -0.90439
  2.2931E+02  0.13904 -0.39988  0.90596
  3.4714E+00  0.83137  0.45179 -0.32358
  6.1398E+00 -0.57941 -0.81165 -0.07419
  1.0614E+02 -0.14086 -0.37911  0.91457
  4.2633E+01  0.21729  0.07491 -0.97323
  1.8861E+02 -0.70498  0.23198  0.67021
  9.4999E+01  0.21358 -0.86836 -0.44758
  3.0945E+02  0.34803 -0.78010  0.51993
  1.7938E+00  0.95411  0.26581 -0.13791
  9.0262E+00  0.53405 -0.48233 -0.69437
  8.7169E+02 -0.98729  0.00647  0.15877
  1.0359E+00  0.74736 -0.25313  0.61431
  1.7560E+02  0.78970 -0.29017  0.54054
  7.1424E+01 -0.12336 -0.80399  0.58171
  3.6340E+00  0.42078  0.85132  0.31337
